Customer_ID,Customer_Name,Customer_Segment,Product_Category,Sales_Amount_AED,Monthly_Visit_Frequency,Transaction_Date,Payment_Method,Store_Location,Country
LULU-10630,Ahmed Al-Rashid,Standard,Electronics,7653.92,2,2024-06-16,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10635,Sara Ibrahim,Loyalty,Electronics,7585.578,4,2024-07-23,Credit Card,Muwaileh,United Arab Emirates
LULU-10315,Layla Al-Maktoum,Premium,Electronics,7543.843999999999,1,2024-11-25,Debit Card,Jumeirah,United Arab Emirates
LULU-10554,Sara Al-Rashid,Standard,Electronics,7539.41,1,2024-12-05,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10843,Khaled Abbas,Premium,Electronics,7426.202,1,2024-02-17,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10643,Youssef Al-Rashid,Standard,Electronics,7420.22,1,2024-04-25,Credit Card,Deira,United Arab Emirates
LULU-10668,Sara Al-Harbi,Standard,Electronics,7342.12,1,2024-06-25,Credit Card,Al Qusais,United Arab Emirates
LULU-10667,Hamad Al-Sayed,Premium,Electronics,7144.647999999999,2,2024-06-23,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10185,Sara Al-Maktoum,Standard,Electronics,7143.05,2,2024-01-27,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10762,Zainab Al-Harbi,Loyalty,Electronics,6969.809,3,2024-12-10,Credit Card,Deira,United Arab Emirates
LULU-10751,Mariam Ibrahim,Standard,Electronics,6952.55,1,2024-01-28,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10904,Fatima Abbas,Standard,Electronics,6838.19,2,2024-11-06,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10380,Reem Al-Harbi,Loyalty,Electronics,6826.402,3,2024-05-02,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10885,Hamad Al-Farsi,Premium,Electronics,6816.347999999999,2,2024-07-21,Cash,Al Qusais,United Arab Emirates
LULU-10179,Mariam Ibrahim,Standard,Electronics,6802.92,2,2024-08-15,Credit Card,Deira,United Arab Emirates
LULU-10533,Reem Al-Maktoum,Loyalty,Electronics,6702.432000000001,4,2024-11-28,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10648,Youssef Mansoor,Premium,Electronics,6692.028,2,2024-03-10,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10449,Mohammed Malik,Standard,Electronics,6655.43,1,2024-12-12,Debit Card,Deira,United Arab Emirates
LULU-10792,Sara Al-Sayed,Premium,Electronics,6642.705999999999,2,2024-05-23,Lulu Pay,Deira,United Arab Emirates
LULU-10937,Reem Khan,Budget,Electronics,6612.29,2,2024-02-13,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10823,Mohammed Al-Farsi,Loyalty,Electronics,6548.993,4,2024-03-26,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10367,Ahmed Malik,Premium,Electronics,6537.776,2,2024-12-02,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10673,Mariam Abbas,Budget,Electronics,6397.57,2,2024-03-22,Debit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10900,Youssef Al-Maktoum,Premium,Electronics,6368.124,1,2024-10-18,Credit Card,Muwaileh,United Arab Emirates
LULU-10831,Omar Ibrahim,Premium,Electronics,6363.8679999999995,1,2024-01-27,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10564,Fatima Al-Maktoum,Standard,Electronics,6293.27,2,2024-09-03,Credit Card,Jumeirah,United Arab Emirates
LULU-10162,Mustafa Ibrahim,Standard,Electronics,6259.46,1,2024-01-23,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10220,Mustafa Abbas,Loyalty,Electronics,6104.2080000000005,4,2024-05-15,Credit Card,Al Qusais,United Arab Emirates
LULU-10566,Noora Al-Harbi,Premium,Electronics,6062.084,2,2024-01-17,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10523,Noora Al-Farsi,Standard,Electronics,6026.79,1,2024-10-01,Credit Card,Al Qusais,United Arab Emirates
LULU-10407,Fatima Al-Maktoum,Budget,Electronics,6001.46,2,2024-05-16,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10492,Mohammed Abbas,Loyalty,Electronics,5979.204000000001,4,2024-09-03,Credit Card,Deira,United Arab Emirates
LULU-10553,Reem Abbas,Budget,Electronics,5894.82,1,2024-11-25,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10664,Youssef Mansoor,Loyalty,Electronics,5893.250000000001,3,2024-06-12,Credit Card,Jumeirah,United Arab Emirates
LULU-10699,Reem Khan,Loyalty,Electronics,5854.200000000001,3,2024-02-24,Cash,Deira,United Arab Emirates
LULU-10385,Aisha Mansoor,Loyalty,Electronics,5812.719,4,2024-11-25,Credit Card,Deira,United Arab Emirates
LULU-10897,Youssef Malik,Premium,Electronics,5811.847999999999,2,2024-02-27,Credit Card,Al Qusais,United Arab Emirates
LULU-10838,Zainab Abbas,Premium,Electronics,5786.858,2,2024-04-05,Cash,Jumeirah,United Arab Emirates
LULU-10721,Aisha Abbas,Loyalty,Electronics,5727.557000000001,4,2024-08-19,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10133,Hamad Malik,Premium,Electronics,5723.339999999999,1,2024-10-11,Debit Card,Al Qusais,United Arab Emirates
LULU-10457,Mariam Mansoor,Premium,Electronics,5720.316,1,2024-02-19,Cash,Al Barsha,United Arab Emirates
LULU-10254,Youssef Mansoor,Standard,Electronics,5555.09,1,2024-07-18,Credit Card,Al Barsha,United Arab Emirates
LULU-10587,Abdullah Ibrahim,Budget,Electronics,5499.15,2,2024-02-17,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10956,Youssef Abbas,Loyalty,Electronics,5463.150000000001,3,2024-07-26,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10023,Hamad Ibrahim,Standard,Electronics,5462.17,2,2024-12-22,Credit Card,Al Barsha,United Arab Emirates
LULU-10390,Fatima Al-Sayed,Loyalty,Electronics,5453.173000000001,3,2024-04-26,Credit Card,Muwaileh,United Arab Emirates
LULU-10504,Mustafa Malik,Budget,Electronics,5443.76,1,2024-02-16,Credit Card,Al Qusais,United Arab Emirates
LULU-10944,Mariam Al-Sayed,Loyalty,Electronics,5353.81,4,2024-07-28,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10731,Mustafa Ibrahim,Budget,Electronics,5263.35,2,2024-04-09,Lulu Pay,Deira,United Arab Emirates
LULU-10207,Khaled Al-Sayed,Budget,Electronics,5137.72,2,2024-02-28,Credit Card,Al Barsha,United Arab Emirates
LULU-10801,Zainab Malik,Premium,Electronics,5136.32,1,2024-12-02,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10642,Noora Al-Maktoum,Loyalty,Electronics,5113.394,3,2024-04-19,Credit Card,Jumeirah,United Arab Emirates
LULU-10013,Abdullah Al-Farsi,Premium,Electronics,5059.166,1,2024-12-08,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10481,Fatima Al-Sayed,Budget,Electronics,4972.89,2,2024-03-21,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10521,Aisha Al-Maktoum,Premium,Electronics,4930.128,1,2024-07-15,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10513,Ahmed Al-Harbi,Premium,Electronics,4919.235999999999,2,2024-11-24,Cash,Al Barsha,United Arab Emirates
LULU-10506,Aisha Al-Maktoum,Budget,Electronics,4889.42,1,2024-10-17,Debit Card,Muwaileh,United Arab Emirates
LULU-10519,Aisha Ibrahim,Budget,Electronics,4847.07,2,2024-06-01,Credit Card,Muwaileh,United Arab Emirates
LULU-10505,Abdullah Malik,Standard,Electronics,4707.76,1,2024-08-14,Credit Card,Muwaileh,United Arab Emirates
LULU-10659,Zainab Abbas,Budget,Electronics,4701.89,2,2024-09-14,Credit Card,Deira,United Arab Emirates
LULU-10816,Mohammed Ibrahim,Budget,Electronics,4652.62,2,2024-08-08,Credit Card,Muwaileh,United Arab Emirates
LULU-10323,Noora Khan,Premium,Electronics,4608.072,2,2024-08-10,Credit Card,Muwaileh,United Arab Emirates
LULU-10878,Fatima Ibrahim,Loyalty,Electronics,4589.684,4,2024-09-27,Cash,Jumeirah,United Arab Emirates
LULU-10388,Mustafa Al-Harbi,Loyalty,Electronics,4578.849,3,2024-01-06,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10327,Mohammed Al-Harbi,Premium,Electronics,4467.442,1,2024-05-26,Debit Card,Jumeirah,United Arab Emirates
LULU-10534,Reem Al-Rashid,Loyalty,Electronics,4361.467000000001,4,2024-01-09,Credit Card,Deira,United Arab Emirates
LULU-10217,Youssef Abbas,Budget,Electronics,4265.71,2,2024-12-12,Lulu Pay,Deira,United Arab Emirates
LULU-10770,Omar Khan,Loyalty,Electronics,4247.397,3,2024-06-11,Debit Card,Jumeirah,United Arab Emirates
LULU-10404,Mohammed Abbas,Standard,Electronics,4149.3,1,2024-04-07,Debit Card,Al Barsha,United Arab Emirates
LULU-10857,Hamad Khan,Standard,Electronics,4132.3,1,2024-03-10,Cash,Al Barsha,United Arab Emirates
LULU-10259,Layla Ibrahim,Standard,Electronics,4107.72,1,2024-11-06,Credit Card,Deira,United Arab Emirates
LULU-10503,Ahmed Al-Maktoum,Premium,Electronics,4051.0959999999995,1,2024-11-16,Debit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10586,Aisha Malik,Premium,Electronics,3988.6279999999997,2,2024-11-13,Cash,Al Barsha,United Arab Emirates
LULU-10021,Youssef Al-Rashid,Loyalty,Electronics,3960.9020000000005,4,2024-08-09,Cash,Muwaileh,United Arab Emirates
LULU-10829,Ahmed Al-Maktoum,Premium,Electronics,3936.3379999999997,1,2024-07-08,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10495,Mariam Al-Maktoum,Budget,Electronics,3926.19,1,2024-10-09,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10341,Mustafa Ibrahim,Premium,Electronics,3776.444,1,2024-12-16,Credit Card,Deira,United Arab Emirates
LULU-10500,Zainab Malik,Budget,Electronics,3625.79,2,2024-11-21,Debit Card,Deira,United Arab Emirates
LULU-10923,Fatima Al-Maktoum,Premium,Electronics,3600.898,2,2024-09-18,Cash,Jumeirah,United Arab Emirates
LULU-10784,Omar Al-Farsi,Loyalty,Electronics,3348.004,4,2024-03-12,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10862,Abdullah Ibrahim,Loyalty,Electronics,3342.5150000000003,3,2024-04-08,Credit Card,Muwaileh,United Arab Emirates
LULU-10198,Zainab Al-Maktoum,Standard,Electronics,3282.4,1,2024-11-01,Credit Card,Muwaileh,United Arab Emirates
LULU-10248,Aisha Al-Farsi,Budget,Electronics,3272.06,2,2024-10-25,Cash,Deira,United Arab Emirates
LULU-10539,Khaled Ibrahim,Budget,Electronics,3261.13,2,2024-08-27,Credit Card,Jumeirah,United Arab Emirates
LULU-10899,Youssef Al-Farsi,Loyalty,Electronics,3170.5520000000006,4,2024-02-12,Cash,Al Qusais,United Arab Emirates
LULU-10012,Reem Ibrahim,Premium,Electronics,3154.41,1,2024-09-08,Cash,Al Barsha,United Arab Emirates
LULU-10663,Zainab Mansoor,Standard,Electronics,3148.63,1,2024-11-16,Credit Card,Deira,United Arab Emirates
LULU-10926,Omar Al-Farsi,Standard,Electronics,2970.8,2,2024-03-20,Credit Card,Al Barsha,United Arab Emirates
LULU-10675,Khaled Ibrahim,Standard,Electronics,2969.22,2,2024-10-26,Credit Card,Al Qusais,United Arab Emirates
LULU-10279,Khaled Al-Maktoum,Loyalty,Electronics,2921.0280000000002,4,2024-12-01,Cash,Al Barsha,United Arab Emirates
LULU-10681,Hamad Al-Harbi,Premium,Electronics,2617.622,1,2024-06-22,Credit Card,Muwaileh,United Arab Emirates
LULU-10391,Layla Khan,Standard,Electronics,2540.16,2,2024-06-27,Credit Card,Jumeirah,United Arab Emirates
LULU-10208,Hamad Al-Sayed,Premium,Electronics,2402.1479999999997,2,2024-10-22,Credit Card,Muwaileh,United Arab Emirates
LULU-10992,Fatima Al-Harbi,Budget,Electronics,2384.37,2,2024-05-28,Debit Card,Al Qusais,United Arab Emirates
LULU-10679,Abdullah Khan,Standard,Electronics,2381.97,1,2024-08-07,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10625,Ahmed Ibrahim,Loyalty,Electronics,2303.323,4,2024-02-18,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10091,Mustafa Al-Maktoum,Loyalty,Electronics,2300.6610000000005,4,2024-04-25,Cash,Deira,United Arab Emirates
LULU-10152,Aisha Al-Harbi,Budget,Electronics,2192.76,2,2024-05-27,Debit Card,Muwaileh,United Arab Emirates
LULU-10170,Abdullah Abbas,Loyalty,Electronics,2150.7090000000003,4,2024-04-17,Cash,Jumeirah,United Arab Emirates
LULU-10726,Layla Al-Maktoum,Loyalty,Electronics,2085.446,3,2024-02-17,Credit Card,Jumeirah,United Arab Emirates
LULU-10805,Aisha Al-Rashid,Standard,Electronics,2047.72,1,2024-11-05,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10759,Reem Khan,Loyalty,Electronics,2041.3360000000002,4,2024-09-05,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10113,Ahmed Malik,Loyalty,Electronics,2020.535,4,2024-08-10,Cash,Al Qusais,United Arab Emirates
LULU-10318,Hamad Abbas,Loyalty,Electronics,1822.9750000000001,4,2024-06-13,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10709,Youssef Al-Rashid,Budget,Electronics,1805.32,2,2024-11-14,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10959,Hamad Ibrahim,Budget,Electronics,1704.83,1,2024-03-22,Credit Card,Al Barsha,United Arab Emirates
LULU-10350,Reem Ibrahim,Standard,Electronics,1702.25,1,2024-02-02,Credit Card,Deira,United Arab Emirates
LULU-10740,Aisha Malik,Loyalty,Electronics,1698.73,4,2024-08-09,Credit Card,Al Barsha,United Arab Emirates
LULU-10245,Zainab Al-Maktoum,Standard,Electronics,1549.16,1,2024-05-28,Debit Card,Deira,United Arab Emirates
LULU-10109,Fatima Abbas,Premium,Home Appliances,6285.79,2,2024-02-20,Debit Card,Deira,United Arab Emirates
LULU-10278,Ahmed Al-Rashid,Premium,Home Appliances,6215.453999999999,1,2024-09-03,Credit Card,Deira,United Arab Emirates
LULU-10744,Zainab Mansoor,Premium,Home Appliances,6015.226,1,2024-09-23,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10827,Hamad Abbas,Premium,Home Appliances,5950.7,2,2024-12-16,Credit Card,Muwaileh,United Arab Emirates
LULU-10761,Noora Al-Farsi,Premium,Home Appliances,5931.226,1,2024-01-24,Credit Card,Jumeirah,United Arab Emirates
LULU-10164,Youssef Al-Sayed,Premium,Home Appliances,5912.788,1,2024-10-21,Cash,Muwaileh,United Arab Emirates
LULU-10356,Noora Al-Farsi,Premium,Home Appliances,5875.632,1,2024-06-16,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10337,Mohammed Al-Harbi,Premium,Home Appliances,5378.492,2,2024-11-19,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10238,Fatima Abbas,Premium,Home Appliances,5083.6939999999995,2,2024-06-19,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10406,Reem Khan,Loyalty,Home Appliances,4834.137000000001,3,2024-07-16,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10233,Omar Khan,Loyalty,Home Appliances,4800.818,3,2024-02-01,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10868,Abdullah Al-Harbi,Premium,Home Appliances,4509.512,1,2024-02-12,Cash,Muwaileh,United Arab Emirates
LULU-10710,Khaled Malik,Premium,Home Appliances,4444.621999999999,1,2024-09-08,Lulu Pay,Deira,United Arab Emirates
LULU-10551,Reem Khan,Premium,Home Appliances,4350.99,2,2024-04-23,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10287,Layla Al-Maktoum,Budget,Home Appliances,4334.74,1,2024-08-09,Debit Card,Al Qusais,United Arab Emirates
LULU-10965,Ahmed Mansoor,Standard,Home Appliances,4327.27,1,2024-04-06,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10392,Mariam Al-Rashid,Loyalty,Home Appliances,4280.408,3,2024-10-28,Credit Card,Muwaileh,United Arab Emirates
LULU-10946,Mariam Ibrahim,Loyalty,Home Appliances,4257.858,4,2024-05-22,Lulu Pay,Deira,United Arab Emirates
LULU-10422,Khaled Al-Rashid,Standard,Home Appliances,4244.28,1,2024-01-11,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10547,Mariam Malik,Loyalty,Home Appliances,4239.444,4,2024-08-11,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10089,Ahmed Ibrahim,Premium,Home Appliances,4175.976,1,2024-07-15,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10961,Sara Al-Rashid,Budget,Home Appliances,4158.72,2,2024-10-20,Credit Card,Deira,United Arab Emirates
LULU-10907,Abdullah Al-Maktoum,Premium,Home Appliances,4137.014,2,2024-04-20,Credit Card,Jumeirah,United Arab Emirates
LULU-10214,Ahmed Al-Harbi,Loyalty,Home Appliances,4094.0680000000007,3,2024-03-12,Cash,Al Qusais,United Arab Emirates
LULU-10563,Reem Al-Rashid,Budget,Home Appliances,4066.78,2,2024-11-07,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10277,Reem Mansoor,Loyalty,Home Appliances,4057.7020000000007,4,2024-09-02,Cash,Al Qusais,United Arab Emirates
LULU-10723,Mohammed Ibrahim,Loyalty,Home Appliances,3871.5490000000004,4,2024-01-23,Credit Card,Muwaileh,United Arab Emirates
LULU-10116,Reem Al-Farsi,Loyalty,Home Appliances,3854.6310000000003,3,2024-02-12,Credit Card,Al Barsha,United Arab Emirates
LULU-10812,Sara Al-Farsi,Loyalty,Home Appliances,3843.0150000000003,3,2024-04-16,Credit Card,Jumeirah,United Arab Emirates
LULU-10757,Mohammed Al-Harbi,Standard,Home Appliances,3834.94,2,2024-01-11,Cash,Al Qusais,United Arab Emirates
LULU-10151,Ahmed Ibrahim,Standard,Home Appliances,3815.7,1,2024-06-02,Cash,Al Barsha,United Arab Emirates
LULU-10018,Ahmed Al-Maktoum,Budget,Home Appliances,3773.59,2,2024-04-11,Credit Card,Deira,United Arab Emirates
LULU-10646,Layla Mansoor,Budget,Home Appliances,3724.93,2,2024-09-04,Credit Card,Jumeirah,United Arab Emirates
LULU-10161,Reem Khan,Standard,Home Appliances,3723.05,1,2024-07-17,Credit Card,Muwaileh,United Arab Emirates
LULU-10186,Reem Al-Sayed,Loyalty,Home Appliances,3718.704,4,2024-04-27,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10159,Mariam Malik,Loyalty,Home Appliances,3681.7990000000004,4,2024-09-07,Credit Card,Al Qusais,United Arab Emirates
LULU-10835,Sara Abbas,Loyalty,Home Appliances,3633.8280000000004,4,2024-11-10,Cash,Jumeirah,United Arab Emirates
LULU-10811,Sara Al-Rashid,Loyalty,Home Appliances,3593.414,3,2024-09-12,Cash,Al Qusais,United Arab Emirates
LULU-10293,Hamad Mansoor,Loyalty,Home Appliances,3567.4320000000002,4,2024-08-10,Credit Card,Deira,United Arab Emirates
LULU-10813,Ahmed Mansoor,Loyalty,Home Appliances,3559.314,4,2024-02-21,Lulu Pay,Deira,United Arab Emirates
LULU-10893,Khaled Al-Maktoum,Standard,Home Appliances,3546.51,1,2024-11-26,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10725,Mariam Khan,Standard,Home Appliances,3518.05,1,2024-11-14,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10375,Noora Al-Sayed,Standard,Home Appliances,3441.92,2,2024-01-13,Lulu Pay,Deira,United Arab Emirates
LULU-10445,Noora Al-Harbi,Budget,Home Appliances,3418.57,2,2024-10-17,Debit Card,Deira,United Arab Emirates
LULU-10114,Mariam Malik,Standard,Home Appliances,3332.91,2,2024-01-05,Credit Card,Al Barsha,United Arab Emirates
LULU-10746,Fatima Ibrahim,Standard,Home Appliances,3325.81,1,2024-11-08,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10363,Omar Al-Farsi,Loyalty,Home Appliances,3317.842,3,2024-05-09,Debit Card,Deira,United Arab Emirates
LULU-10303,Zainab Al-Harbi,Loyalty,Home Appliances,3282.719,4,2024-03-22,Cash,Jumeirah,United Arab Emirates
LULU-10730,Sara Al-Maktoum,Loyalty,Home Appliances,3273.1270000000004,4,2024-06-09,Credit Card,Al Qusais,United Arab Emirates
LULU-10561,Zainab Al-Harbi,Loyalty,Home Appliances,3258.9150000000004,3,2024-06-02,Debit Card,Al Qusais,United Arab Emirates
LULU-10984,Hamad Abbas,Loyalty,Home Appliances,3253.9320000000002,3,2024-09-27,Debit Card,Al Qusais,United Arab Emirates
LULU-10236,Zainab Al-Farsi,Loyalty,Home Appliances,3229.1490000000003,4,2024-12-02,Debit Card,Muwaileh,United Arab Emirates
LULU-10532,Mustafa Ibrahim,Loyalty,Home Appliances,3155.3720000000003,3,2024-03-19,Credit Card,Muwaileh,United Arab Emirates
LULU-10263,Layla Mansoor,Standard,Home Appliances,3149.35,1,2024-09-23,Cash,Muwaileh,United Arab Emirates
LULU-10355,Noora Mansoor,Loyalty,Home Appliances,3104.86,3,2024-03-14,Cash,Al Barsha,United Arab Emirates
LULU-10676,Ahmed Abbas,Loyalty,Home Appliances,3083.3990000000003,4,2024-08-19,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10810,Hamad Ibrahim,Budget,Home Appliances,2955.94,1,2024-02-12,Lulu Pay,Al Qusais,United Arab Emirates
LULU-10546,Khaled Abbas,Premium,Home Appliances,2793.2799999999997,2,2024-11-24,Credit Card,Jumeirah,United Arab Emirates
LULU-10977,Reem Al-Maktoum,Standard,Home Appliances,2752.72,1,2024-04-10,Credit Card,Jumeirah,United Arab Emirates
LULU-10223,Hamad Ibrahim,Premium,Home Appliances,2736.93,2,2024-02-03,Lulu Pay,Al Barsha,United Arab Emirates
LULU-10870,Youssef Abbas,Standard,Home Appliances,2701.64,2,2024-04-07,Debit Card,Al Barsha,United Arab Emirates
LULU-10780,Sara Abbas,Standard,Home Appliances,2663.65,2,2024-01-16,Debit Card,Muwaileh,United Arab Emirates
LULU-10036,Omar Khan,Standard,Home Appliances,2600.95,2,2024-11-27,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10487,Reem Ibrahim,Premium,Home Appliances,2600.234,2,2024-09-19,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10429,Fatima Mansoor,Loyalty,Home Appliances,2572.295,4,2024-09-09,Lulu Pay,Muwaileh,United Arab Emirates
LULU-10815,Zainab Khan,Standard,Home Appliances,2556.65,2,2024-10-23,Credit Card,Muwaileh,United Arab Emirates
LULU-10419,Reem Al-Farsi,Premium,Home Appliances,2525.894,1,2024-02-18,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10417,Fatima Al-Maktoum,Budget,Home Appliances,2479.6,2,2024-08-22,Credit Card,Al Qusais,United Arab Emirates
LULU-10837,Aisha Al-Farsi,Loyalty,Home Appliances,2456.003,3,2024-10-12,Debit Card,Al Qusais,United Arab Emirates
LULU-10621,Sara Al-Rashid,Standard,Home Appliances,2421.25,1,2024-11-18,Credit Card,Deira,United Arab Emirates
LULU-10605,Mustafa Al-Harbi,Standard,Home Appliances,2390.84,1,2024-04-22,Credit Card,Jumeirah,United Arab Emirates
LULU-10039,Noora Al-Farsi,Standard,Home Appliances,2384.28,1,2024-03-28,Lulu Pay,Jumeirah,United Arab Emirates
LULU-10940,Hamad Al-Harbi,Budget,Home Appliances,2320.49,2,2024-11-07,Debit Card,Al Qusais,United Arab Emirates
LULU-10147,Youssef Ibrahim,Standard,Home Appliances,2314.82,2,2024-09-02,Lulu Pay,Dubai Silicon Oasis,United Arab Emirates
LULU-10579,Omar Malik,Budget,Home Appliances,2290.27,2,2024-07-08,Credit Card,Dubai Silicon Oasis,United Arab Emirates
LULU-10268,Noora Abbas,Loyalty,Home Appliances,2289.529,3,2024-09-01,Credit Card,Deira,United Arab Emirates
LULU-10225,Noora Al-Rashid,Loyalty,Home Appliances,2251.601,4,2024-09-01,Cash,Dubai Silicon Oasis,United Arab Emirates
LULU-10282,Mustafa Khan,Standard,Home Appliances,2232.19,1,2024-07-02,Credit Card,Jumeirah,United Arab Emirates
LULU-10734,Layla Al-Maktoum,Premium,Home Appliances,2199.5119999999997,1,2024-08-03,Credit Card,Muwaileh,United Arab Emirates
